Hate Speech,Target,Category,Counterspeech
"We are forced to host migrants, not refugees.",MIGRANTS,Question,"I only hear you talk about migrants as a burden on the UK, but isn't this just wishful thinking based on a misunderstanding what is going on?"
"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.",JEWS,Denouncing,"You should not misinterpret facts like this, all religions deserve to be treated with some kind of equality, and yours isn't more important than theirs."
I'm tired of seeing retarded people overrunning this country.,DISABLED,Denouncing,Please stop using ableist slurs. It's not funny to be offensive to people suffering from disabilities.
"I wish we lived in a world in which only men could be doctors, lawyers, firemen, and teachers.",WOMEN,Humor,I am sure all your amazing female teachers are really disappointed in you.
"I am just fed-up with Muslims. All I want is for them to be assimilated, or otherwise to leave.",MUSLIMS,Question,"You want people to integrate / assimilate? Have you tried making people feel welcome, as a first step to settling in? "
Anita Hill is a tool for advancing black supremacy.,POC,Question,"Are you aware of her suffering and her ultimate contributions, do you have your facts straight? "
Western nations have let Islam take over entire countries.,MUSLIMS,Question,"I don't see how you can interpret this as a 'takeover' of entire countries, can you elaborate on that?"
We can't accept n****rs in our society.,POC,Question,So are you saying that you don't think that POC can be part of society?
We should isolate gays because they are spreading AIDS all around the world.,LGBT+,Humor,This guy is going to get his mind blown when we tell him that women can contract that disease as well.
"Feminism is a witch hunt, driven by an underground, female dominated movement to subvert society and enforce their radical feminism.",WOMEN,Facts,"It's a witch hunt when so many people are willing to believe in lies, harass, and fabricate incidents in an effort to create a climate of fear. This is simply an attempt to silence debate and hold 'men's rights activists' accountable"
Muslims are not welcome here. They are not like us. They cannot coexist with us.,MUSLIMS,Denouncing,"Muslims are welcome to live and work in the UK, and many of them have done just that. This unfounded fear doesn't have to be at the expense of those 'different' from us."
"The West has been attacked by immigrants, they are the real problem for our countries.",MIGRANTS,Question,The UK has always been a melting pot of cultures and humanity. We are stronger together than apart. How would the immigrants represent an 'attack' to the west?
Gays are just sick. It is an abomination,LGBT+,Question,Do you consider it a disease like cold or flu?
"Immigration would be good, if it made us richer.",MIGRANTS,Facts,"Migration can be a positive force for social progress and improve our country, so let's do our bit to improve the life of migrants."
Downy children should be isolated in special schools for their own interest.,DISABLED,Positive,How can you think that discriminated children are better off in such schools? It is neither for their own interest nor the other kids who miss the chance of learning to respect diversity.
